text,DESTINATION,DEPARTURE,DATE,TIME
khodni men dar lel matar ghodwa 7h,matar,dar,ghodwa,7h
3aybni taxi men bureau lel gare el-jemaa 16h,gare,bureau,el-jemaa,16h
men marsa lel tunis ghodwa fel sbeh,tunis,marsa,ghodwa,fel sbeh
khodni men beit lel ennasr lyoum 8h,ennasr,beit,lyoum,8h
men funduk lel carthage lyoum 15h,carthage,funduk,lyoum,15h
taxi men beit lel matar ghodwa 6h,matar,beit,ghodwa,6h
khodni men el-maktab lel lac el-arba3 18h,lac,el-maktab,el-arba3,18h
nheb nemchi il touns men hammamet ghodwa 18h,touns,hammamet,ghodwa,18h
sfax el-jemaa sbeh,sfax,,el-jemaa,sbeh
tunis ghodwa 18h,tunis,,ghodwa,18h
matar tawwa,matar,,tawwa,
hammamet el-sebt 9h,hammamet,,el-sebt,9h
taxi pour sfax,sfax,,,
direction kairouan,kairouan,,,
emmene moi a l aeroport,l aeroport,,,
je veux aller a tunis demain,tunis,,demain,
taxi pour djerba apres-demain,djerba,,apres-demain,
direction sousse samedi,sousse,,samedi,
aller a sfax lundi prochain,sfax,,lundi prochain,
rendez vous a monastir dimanche prochain,monastir,,dimanche prochain,
taxi vers nabeul a 10h,nabeul,,,10h
je dois etre a l aeroport pour 6h,l aeroport,,,6h
je veux aller a tunis demain matin,tunis,,demain,matin
emmene moi a l aeroport ce soir a 22h,l aeroport,,ce soir,22h
je dois arriver a sousse lundi a 8h,sousse,,lundi,8h
taxi pour nabeul apres-demain a 10h,nabeul,,apres-demain,10h
taxi pour djerba aujourd hui soir,djerba,,aujourd hui,soir
je veux aller a hammamet samedi apres-midi,hammamet,,samedi,apres-midi
direction kairouan ce soir,kairouan,,ce soir,
taxi pour le lac ce soir a 20h,le lac,,ce soir,20h
je dois etre a la gare lundi a 6h30,la gare,,lundi,6h30
emmene moi a kairouan mardi a 13h,kairouan,,mardi,13h
direction sousse samedi matin,sousse,,samedi,matin
taxi pour hammamet vendredi soir,hammamet,,vendredi,soir
je veux aller a bizerte demain nuit,bizerte,,demain,nuit
aller a tunis vendredi a minuit,tunis,,vendredi,minuit
taxi depuis bizerte vers sfax samedi a 9h,sfax,bizerte,samedi,9h
reserver un taxi de la marsa vers le centre vendredi a 14h30,le centre,la marsa,vendredi,14h30
je pars de mon bureau pour monastir jeudi a 15h,monastir,mon bureau,jeudi,15h
de bizerte a nabeul mercredi a 14h00,nabeul,bizerte,mercredi,14h00
j ai besoin d un taxi de carthage a tunis lundi matin,tunis,carthage,lundi,matin
aller a sfax depuis la gare vendredi a 7h,sfax,la gare,vendredi,7h
un taxi de mon hotel au centre ville demain a 9h30,centre ville,mon hotel,demain,9h30
conduire de bizerte a tunis dimanche a 11h,tunis,bizerte,dimanche,11h
reserver un taxi demain matin de la marsa vers le centre,le centre,la marsa,demain,matin
taxi depuis mon bureau vers l aeroport aujourd hui a 18h,l aeroport,mon bureau,aujourd hui,18h
un taxi de mon domicile a l aeroport demain a 5h,l aeroport,mon domicile,demain,5h
de carthage a monastir mercredi a 10h,monastir,carthage,mercredi,10h
aller de la marsa a sfax vendredi a midi,sfax,la marsa,vendredi,midi
taxi de mon bureau vers sfax vendredi a 14h,sfax,mon bureau,vendredi,14h
je pars de la gare pour sousse demain a 9h,sousse,la gare,demain,9h
sousse demain matin,sousse,,demain,matin
hammamet vendredi 18h,hammamet,,vendredi,18h
sfax samedi 9h,sfax,,samedi,9h
taxi to hammamet,hammamet,,,
I need a ride to the airport,the airport,,,
take me to sousse,sousse,,,
going to sfax tomorrow,sfax,,tomorrow,
I need a taxi to nabeul saturday,nabeul,,saturday,
taxi to sousse day after tomorrow,sousse,,day after tomorrow,
book a taxi to kairouan next friday,kairouan,,next friday,
going to nabeul this saturday,nabeul,,this saturday,
take me to the airport at 6h,the airport,,,6h
I need a ride to monastir at noon,monastir,,,noon
take me to the airport tonight at 22h,the airport,,tonight,22h
book a ride to monastir next monday at 7h,monastir,,next monday,7h
get me a taxi to hammamet friday at 18h,hammamet,,friday,18h
I want to go to djerba saturday at 10h,djerba,,saturday,10h
taxi to nabeul day after tomorrow at 11h,nabeul,,day after tomorrow,11h
I have to reach the train station tomorrow at 6h,the train station,,tomorrow,6h
going to tunis today evening,tunis,,today,evening
book a taxi to kairouan next friday at 7h30,kairouan,,next friday,7h30
I need a taxi to la marsa tonight at 21h,la marsa,,tonight,21h
heading to monastir tomorrow at noon,monastir,,tomorrow,noon
I want a taxi to sfax this tuesday at 10h,sfax,,this tuesday,10h
taxi to carthage tomorrow night,carthage,,tomorrow,night
I need a taxi from sfax to sousse tomorrow at 8h30,sousse,sfax,tomorrow,8h30
I need a ride from home to the airport tomorrow morning,the airport,home,tomorrow,morning
ride from la marsa to downtown today at noon,downtown,la marsa,today,noon
take me to sousse from my office thursday afternoon,sousse,my office,thursday,afternoon
pick me up at the hotel and take me to sfax sunday at 8h,sfax,the hotel,sunday,8h
can you take me from carthage to bizerte friday at 9h,bizerte,carthage,friday,9h
need a cab from the station to hammamet this saturday at 14h,hammamet,the station,this saturday,14h
take me from home to the airport tomorrow at 5h30,the airport,home,tomorrow,5h30
drop me at sousse from sfax wednesday at 15h,sousse,sfax,wednesday,15h
from the hotel to the airport sunday at 6h,the airport,the hotel,sunday,6h
take me to djerba from tunis next thursday morning,djerba,tunis,next thursday,morning
going to the airport from my office today at 17h,the airport,my office,today,17h
can I get a cab from home to the station friday at 8h,the station,home,friday,8h
ride from sfax to hammamet saturday at 8h,hammamet,sfax,saturday,8h
hammamet tomorrow 9h,hammamet,,tomorrow,9h
sfax friday morning,sfax,,friday,morning
taxi from beit to sousse demain morning,sousse,beit,demain,morning
تاكسي إلى سوسة,سوسة,,,
خذني إلى المطار,المطار,,,
أريد الذهاب إلى تونس اليوم,تونس,,اليوم,
تاكسي إلى بنزرت الجمعة,بنزرت,,الجمعة,
أريد الذهاب إلى القيروان الاثنين القادم,القيروان,,الاثنين القادم,
من هنا إلى سوسة غدا في المساء,سوسة,,غدا,المساء
أريد الذهاب إلى سوسة غدا في المساء,سوسة,,غدا,المساء
خذني إلى المطار اليوم الساعة 20h,المطار,,اليوم,20h
تاكسي نحو صفاقس يوم الجمعة صباحا,صفاقس,,الجمعة,صباحا
تاكسي إلى بنزرت يوم الأربعاء في المساء,بنزرت,,الأربعاء,المساء
أريد تاكسي إلى حمام الأنف غدا في 18h,حمام الأنف,,غدا,18h
أحتاج تاكسي إلى المطار اليوم الساعة 6h,المطار,,اليوم,6h
مطار غدا 6h,مطار,,غدا,6h
احتاج تاكسي من المكتب إلى المطار غدا الساعة 7h,المطار,المكتب,غدا,7h
من المنزل إلى سوسة الجمعة صباحا,سوسة,المنزل,الجمعة,صباحا
انطلاق من الفندق وصول المطار غدا في 6h,المطار,الفندق,غدا,6h
احتاج تاكسي من المرسى إلى وسط المدينة الاثنين صباحا,وسط المدينة,المرسى,الاثنين,صباحا
من المطار إلى الفندق اليوم في المساء,الفندق,المطار,اليوم,المساء
أريد تاكسي من المكتب إلى قرطاج الثلاثاء في المساء,قرطاج,المكتب,الثلاثاء,المساء
bch nemchi kef tawwa 6h,kef,,tawwa,6h
je dois etre a gammarth vendredi avant 15h30,gammarth,,vendredi,15h30
bch nemchi bizerte ba3d ghodwa 6h,bizerte,,ba3d ghodwa,6h
3aybni taxi ba3d ghodwa fel 23h,,,ba3d ghodwa,23h
هل يوجد تاكسي من المرسى إلى باردو الثلاثاء الصباح,باردو,المرسى,الثلاثاء,الصباح
tozeur dimanche,tozeur,,dimanche,
a cab to ben arous april 8th at 11h please,ben arous,,april 8th,11h
3aybni taxi tataouine el-khamis 13h,tataouine,,el-khamis,13h
going to beja,beja,,,
nemchi lac 14h,lac,,,14h
أريد الوصول إلى وسط المدينة الاثنين القادم قبل 13h30,وسط المدينة,,الاثنين القادم,13h30
emmene moi a sfax le 31 décembre a 16h,sfax,,le 31 décembre,16h
I need to be at manouba on january 1st at 8h,manouba,,january 1st,8h
تاكسي من المرسى إلى ياسمين الحمامات يوم الأحد القادم,ياسمين الحمامات,المرسى,الأحد القادم,
je pars de la gare pour ben arous le 31 décembre,ben arous,la gare,le 31 décembre,
mrezga friday,mrezga,,friday,
je dois etre a zaghouan pour 20h,zaghouan,,,20h
موعد في الكاف 7 أكتوبر,الكاف,,7 أكتوبر,
la gare monastir mardi,monastir,la gare,mardi,
chkoun ynajem yakhdheni men ennasr lel kef el-jemaa,kef,ennasr,el-jemaa,
je veux aller a mahdia,mahdia,,,
combien pour aller de la marsa a tataouine le 22 novembre 17h,tataouine,la marsa,le 22 novembre,17h
prise en charge a mon hôtel direction zaghouan le 14 février a 23h,zaghouan,mon hôtel,le 14 février,23h
take me to tozeur,tozeur,,,
أحتاج أن أصل إلى زغوان السبت,زغوان,,السبت,
أريد الوصول إلى المنستير الاثنين قبل 18h,المنستير,,الاثنين,18h
la marsa la cité olympique vendredi,la cité olympique,la marsa,vendredi,
موعد في الزهور 28 جويلية,الزهور,,28 جويلية,
taxi to hammamet,hammamet,,,
wein taxi el-talata 12h30,,,el-talata,12h30
men ennasr lel tunis 15 juin,tunis,ennasr,15 juin,
taxi men bureau lel sidi bou said el-khamis,sidi bou said,bureau,el-khamis,
how much from la marsa to the olympic city tonight,the olympic city,la marsa,tonight,
je pars de mon hôtel pour gammarth le 20 mars,gammarth,mon hôtel,le 20 mars,
kasserine tawwa,kasserine,,,
خذني إلى جربة الأحد القادم في 11h,جربة,,الأحد القادم,11h
reserver un taxi le 10 septembre minuit pour zaghouan,zaghouan,,le 10 septembre,minuit
khodni lel nabeul,nabeul,,,
un taxi pour yasmine hammamet le 15 juin a 23h s il vous plait,yasmine hammamet,,le 15 juin,23h
prise en charge a mon domicile direction la cité olympique dimanche prochain a 11h,la cité olympique,mon domicile,dimanche prochain,11h
pouvez vous me prendre a la marsa pour aller a yasmine hammamet le 22 novembre 12h30,yasmine hammamet,la marsa,le 22 novembre,12h30
سيدي ثابت الاثنين,سيدي ثابت,,الاثنين,
conduire de mon bureau a kasserine aujourd'hui 23h,kasserine,mon bureau,aujourd'hui,23h
direction manouba,manouba,,,
wein taxi lel yasmine hammamet ghodwa 6h,yasmine hammamet,,ghodwa,6h
khodni lel sidi bouzid el-jemaa 21h,sidi bouzid,,el-jemaa,21h
depart de carthage arrivee el aouina ce soir 22h,el aouina,carthage,ce soir,22h
je veux aller a le centre-ville,le centre-ville,,,
احتاج تاكسي من المرسى إلى توزر الأحد,توزر,المرسى,الأحد,
lazem nkoun fel gafsa nhar el-itnin el-jay 16h30,gafsa,,nhar el-itnin el-jay,16h30
أريد الذهاب إلى المنستير,المنستير,,,
nemchi kebili el-sebt fel 9h,kebili,,el-sebt,9h
taxi de mon hôtel vers gammarth le 3 mai a 14h,gammarth,mon hôtel,le 3 mai,14h
خذني من الفندق إلى قرطاج الأربعاء الساعة صباحا,قرطاج,الفندق,الأربعاء,صباحا
احجز لي تاكسي إلى المنستير يوم 7 أكتوبر في الصباح,المنستير,,7 أكتوبر,الصباح
nemchi tozeur min bureau 28 juillet,tozeur,bureau,28 juillet,
انطلاق من المرسى وصول المنستير الخميس في 14h30,المنستير,المرسى,الخميس,14h30
lazem nemchi jendouba 15 juin,jendouba,,15 juin,
going to the lake on july 28th,the lake,,july 28th,
من المكتب إلى سليانة الأحد الليل,سليانة,المكتب,الأحد,الليل
chkoun ynajem yakhdheni men beit lel monastir 7 octobre,monastir,beit,7 octobre,
المحطة تونس غدا,تونس,المحطة,غدا,
khodni men dar lel ezzouhour el-jemaa 6h30,ezzouhour,dar,el-jemaa,6h30
هل يمكنني الذهاب إلى المدينة الأولمبية الأربعاء في الظهر,المدينة الأولمبية,,الأربعاء,الظهر
fama taxi yemchi lel bardo 7 octobre,bardo,,7 octobre,
taxi pickup from office drop off at yasmine hammamet august 2nd 10h30,yasmine hammamet,office,august 2nd,10h30
prise en charge a la marsa direction l'aéroport le 31 décembre a 9h30,l'aéroport,la marsa,le 31 décembre,9h30
أريد تاكسي إلى نابل اليوم,نابل,,اليوم,
احجز لي تاكسي إلى نابل يوم 7 أكتوبر في 7h,نابل,,7 أكتوبر,7h
I have to reach sidi bouzid february 14th before night,sidi bouzid,,february 14th,night
je pars de la gare pour le lac le 3 mai,le lac,la gare,le 3 mai,
is there a taxi to mrezga on this saturday at morning,mrezga,,this saturday,morning
kairouan april 8th 14h,kairouan,,april 8th,14h
schedule a taxi to kairouan for september 10th at 23h,kairouan,,september 10th,23h
depart de la gare arrivee la cité olympique ce soir 10h30,la cité olympique,la gare,ce soir,10h30
carthage béja le 28 juillet,béja,carthage,le 28 juillet,
من المنزل إلى بنزرت 15 جوان,بنزرت,المنزل,15 جوان,
I want to go to hammamet sunday at 14h,hammamet,,sunday,14h
heading to gafsa this sunday at 16h,gafsa,,this sunday,16h
roh nabeul el-ahad 23h 3andek,nabeul,,el-ahad,23h
khodni bardo 10 septembre,bardo,,10 septembre,
taxi pour l'aéroport demain,l'aéroport,,demain,
from sfax to gabes february 14th,gabes,sfax,february 14th,
mon hôtel yasmine hammamet lundi,yasmine hammamet,mon hôtel,lundi,
taxi to kebili,kebili,,,
de mon hôtel jusqu a tunis dimanche prochain a soir,tunis,mon hôtel,dimanche prochain,soir
taxi de la marsa a yasmine hammamet le 14 février,yasmine hammamet,la marsa,le 14 février,
depart de mon hôtel arrivee kairouan vendredi prochain midi,kairouan,mon hôtel,vendredi prochain,midi
هل يوجد تاكسي من المكتب إلى قرطاج الأحد القادم 11h,قرطاج,المكتب,الأحد القادم,11h
conduire de mon bureau a yasmine hammamet ce soir 13h30,yasmine hammamet,mon bureau,ce soir,13h30
I need a cab leaving sfax going to nabeul april 8th at 7h30,nabeul,sfax,april 8th,7h30
can I get a cab from la marsa to tataouine july 28th,tataouine,la marsa,july 28th,
book a ride to djerba february 14th at 6h30,djerba,,february 14th,6h30
direction béja,béja,,,
lazem nkoun fel ezzouhour 3 mai 13h,ezzouhour,,3 mai,13h
going to the olympic city on this saturday,the olympic city,,this saturday,
lazem nemchi cite olimpik ba3d ghodwa,cite olimpik,,ba3d ghodwa,
I want to go to tozeur today at 20h,tozeur,,today,20h
je pars de la marsa pour nabeul le 31 décembre,nabeul,la marsa,le 31 décembre,
is there a taxi to mahdia on july 28th at 9h,mahdia,,july 28th,9h
take me to siliana at 15h30,siliana,,,15h30
trip from the station to le kef on this sunday,le kef,the station,this sunday,
taxi de la marsa vers yasmine hammamet vendredi prochain a 8h30,yasmine hammamet,la marsa,vendredi prochain,8h30
trip from la marsa to hammamet on thursday,hammamet,la marsa,thursday,
I need a ride from the hotel to city center may 3rd at 10h30,city center,the hotel,may 3rd,10h30
تاكسي إلى سيدي ثابت,سيدي ثابت,,,
taxi vers carthage a 20h,carthage,,,20h
men marsa lel bizerte tawwa,bizerte,marsa,tawwa,
pick me up at sfax and take me to ariana saturday at evening,ariana,sfax,saturday,evening
nemchi mrezga min funduk el-jemaa,mrezga,funduk,el-jemaa,
خذني إلى ياسمين الحمامات الساعة 6h30,ياسمين الحمامات,,,6h30
قبلي الأربعاء 18h,قبلي,,الأربعاء,18h
lazem nkoun fel gafsa tawwa 8h30,gafsa,,tawwa,8h30
تاكسي إلى وسط المدينة الأربعاء في 9h,وسط المدينة,,الأربعاء,9h
أنا في حاجة إلى تاكسي باتجاه قرطاج 10 سبتمبر 23h,قرطاج,,10 سبتمبر,23h
taxi to the bardo december 31st,the bardo,,december 31st,
تاكسي إلى تونس,تونس,,,
تاكسي إلى جندوبة,جندوبة,,,
vous pouvez me conduire de la gare a sidi bou saïd le 15 juin,sidi bou saïd,la gare,le 15 juin,
depart de la marsa arrivee nabeul le 1er janvier 7h30,nabeul,la marsa,le 1er janvier,7h30
depart de la gare arrivee mahdia le 2 août minuit,mahdia,la gare,le 2 août,minuit
j ai besoin d un taxi pour manouba vendredi prochain a 18h,manouba,,vendredi prochain,18h
emmene moi a kébili dimanche prochain a 10h30,kébili,,dimanche prochain,10h30
خذني إلى المنستير الساعة 7h,المنستير,,,7h
موعد في باردو اليوم,باردو,,اليوم,
خذني إلى حمام الأنف,حمام الأنف,,,
take me from sfax to medenine january 1st,medenine,sfax,january 1st,
هل يوجد تاكسي من المرسى إلى زغوان الثلاثاء 16h,زغوان,المرسى,الثلاثاء,16h
خذني إلى تطاوين الجمعة القادمة في 15h,تطاوين,,الجمعة القادمة,15h
je vais a l'aéroport le 7 octobre,l'aéroport,,le 7 octobre,
fama taxi lel bardo 7 octobre,bardo,,7 octobre,
3aybni taxi gafsa el-ahad 17h30,gafsa,,el-ahad,17h30
reserver un taxi vendredi prochain 10h pour béja,béja,,vendredi prochain,10h
je vais a mahdia dimanche,mahdia,,dimanche,
تاكسي من المرسى إلى جندوبة يوم الجمعة,جندوبة,المرسى,الجمعة,
خذني إلى البحيرة غدا في 13h,البحيرة,,غدا,13h
combien pour aller de mon bureau a mrezga demain soir,mrezga,mon bureau,demain,soir
taxi de mon bureau vers le bardo samedi a 6h,le bardo,mon bureau,samedi,6h
direction yasmine hammamet lundi,yasmine hammamet,,lundi,
je vais a béja le 20 mars,béja,,le 20 mars,
heading to the olympic city may 3rd at 9h,the olympic city,,may 3rd,9h
pouvez vous me prendre a mon bureau pour aller a le centre aujourd'hui 9h30,le centre,mon bureau,aujourd'hui,9h30
تاكسي إلى بن عروس في صباحا,بن عروس,,,صباحا
je dois etre a siliana le 31 décembre avant 9h,siliana,,le 31 décembre,9h
taxi lel lac 3 mai,lac,,3 mai,
please take me to la marsa this june 15th at 11h,la marsa,,june 15th,11h
fama taxi yemchi lel la marsa el-khamis,la marsa,,el-khamis,
أحتاج أن أصل إلى ياسمين الحمامات 28 جويلية,ياسمين الحمامات,,28 جويلية,
taxi pour tunis le 14 février,tunis,,le 14 février,
is there a taxi to gammarth on october 7th at 17h30,gammarth,,october 7th,17h30
أحتاج تاكسي إلى باردو قبل 10h,باردو,,,10h
from sfax to bizerte on wednesday at 16h30,bizerte,sfax,wednesday,16h30
je vais a le centre-ville le 7 octobre,le centre-ville,,le 7 octobre,
تاكسي إلى سوسة 2 أوت,سوسة,,2 أوت,
I need a ride to el aouina on tonight at 11h30,el aouina,,tonight,11h30
drop me at the olympic city from my office august 2nd,the olympic city,my office,august 2nd,
taxi to hammamet,hammamet,,,
il me faut un taxi pour zaghouan le 14 février a 15h,zaghouan,,le 14 février,15h
احتاج تاكسي من قرطاج إلى العوينة 2 أوت,العوينة,قرطاج,2 أوت,
خذني إلى بنزرت الاثنين القادم في 7h30,بنزرت,,الاثنين القادم,7h30
احتاج تاكسي من الفندق إلى باردو الأحد القادم,باردو,الفندق,الأحد القادم,
قابس 15 جوان,قابس,,15 جوان,
can you drive me from the station to sidi thabet wednesday,sidi thabet,the station,wednesday,
taxi pickup from office drop off at djerba september 10th 8h30,djerba,office,september 10th,8h30
schedule a taxi to gammarth for april 8th at 7h,gammarth,,april 8th,7h
je pars de carthage vers le bardo mercredi a 21h,le bardo,carthage,mercredi,21h
can you get me to ariana by 15h on thursday,ariana,,thursday,15h
I need a ride to siliana on today at 21h,siliana,,today,21h
depart de mon bureau arrivee monastir le 2 août 7h30,monastir,mon bureau,le 2 août,7h30
vous pouvez me conduire de la marsa a kairouan aujourd'hui,kairouan,la marsa,aujourd'hui,
book a taxi to carthage for next sunday,carthage,,next sunday,
I need a ride to monastir on wednesday at 17h30,monastir,,wednesday,17h30
wein taxi lel kebili 28 juillet leyl,kebili,,28 juillet,leyl
taxi men bureau lel cite olimpik el-arba3 8h,cite olimpik,bureau,el-arba3,8h
pouvez vous m amener a le lac le 20 mars a 15h,le lac,,le 20 mars,15h
emmene moi a médenine a 16h30,médenine,,,16h30
رحلة من المحطة إلى قفصة الاثنين القادم,قفصة,المحطة,الاثنين القادم,
kairouan ba3d ghodwa,kairouan,,ba3d ghodwa,
prise en charge a carthage direction bizerte après-demain a 6h,bizerte,carthage,après-demain,6h
taxi pour nabeul,nabeul,,,
je veux aller a kébili le 3 mai 17h30,kébili,,le 3 mai,17h30
I want to go to manouba thursday at 9h30,manouba,,thursday,9h30
أحتاج تاكسي نحو زغوان الثلاثاء الساعة 6h30,زغوان,,الثلاثاء,6h30
هل يمكنني الذهاب إلى البحيرة الأربعاء في 18h,البحيرة,,الأربعاء,18h
a cab to nabeul tomorrow at 22h please,nabeul,,tomorrow,22h
going to downtown,downtown,,,
taxi to djerba next sunday,djerba,,next sunday,
tataouine april 8th,tataouine,,april 8th,
take me to gammarth at 19h,gammarth,,,19h
أريد الوصول إلى الزهور غدا قبل 16h,الزهور,,غدا,16h
going to beja,beja,,,
3aybni taxi zaghouan 7 octobre 3achiya,zaghouan,,7 octobre,3achiya
I need a ride to sfax,sfax,,,
direction sidi bou saïd le 22 novembre,sidi bou saïd,,le 22 novembre,
تاكسي من المكتب إلى باردو يوم 15 جوان,باردو,المكتب,15 جوان,
أريد الوصول إلى العوينة الأحد القادم قبل 15h30,العوينة,,الأحد القادم,15h30
I need a cab from the station to kairouan january 1st,kairouan,the station,january 1st,
taxi de la marsa a el aouina jeudi,el aouina,la marsa,jeudi,
أريد الذهاب إلى قرطاج الجمعة 11h30,قرطاج,,الجمعة,11h30
I need a cab from home to tataouine january 1st,tataouine,home,january 1st,
wein taxi 15 juin 16h,,,15 juin,16h
men marsa lel mrezga 28 juillet fel 17h,mrezga,marsa,28 juillet,17h
fama taxi yekhdhem men hotel lel centre ville el-ahad 10h30,centre ville,hotel,el-ahad,10h30
جربة اليوم 8h30,جربة,,اليوم,8h30
pouvez vous me prendre a mon domicile pour aller a hammamet le 2 août 15h,hammamet,mon domicile,le 2 août,15h
chhal el taxi men dar lel carthage el-khamis 20h,carthage,dar,el-khamis,20h
أريد الانتقال من المحطة إلى الكاف 15 جوان,الكاف,المحطة,15 جوان,
خذني إلى باجة,باجة,,,
من المرسى إلى بن عروس 31 ديسمبر 19h30,بن عروس,المرسى,31 ديسمبر,19h30
emmene moi a jendouba le 20 mars a 15h,jendouba,,le 20 mars,15h
take me to jendouba at morning,jendouba,,,morning
take me from sfax to city center this tuesday,city center,sfax,this tuesday,
من المرسى إلى البحيرة 2 أوت 13h,البحيرة,المرسى,2 أوت,13h
taxi to gammarth,gammarth,,,
أريد الذهاب إلى القصرين,القصرين,,,
zaghouan le 10 septembre,zaghouan,,le 10 septembre,
هل يوجد تاكسي من المرسى إلى صفاقس الجمعة القادمة 17h30,صفاقس,المرسى,الجمعة القادمة,17h30
موعد في محطة القطار 2 أوت,محطة القطار,,2 أوت,
tnajem tjibli taxi lel sidi bou said 7 octobre 12h30,sidi bou said,,7 octobre,12h30
khodni kairouan fel 22h,kairouan,,,22h
أريد تاكسي إلى محطة القطار 15 جوان في 18h,محطة القطار,,15 جوان,18h
taxi lel jendouba,jendouba,,,
is there a taxi to tataouine on june 15th at midnight,tataouine,,june 15th,midnight
sfax to gammarth next friday,gammarth,sfax,next friday,
how much from the station to el aouina january 1st,el aouina,the station,january 1st,
nabeul tawwa,nabeul,,tawwa,
pick me up at the station and take me to bizerte next saturday at 8h,bizerte,the station,next saturday,8h
khodni tunis fel 11h,tunis,,,11h
khodni lel kasserine ghodwa 10h30,kasserine,,ghodwa,10h30
from the hotel to the station tuesday,the station,the hotel,tuesday,
خذني من المكتب إلى أريانة الجمعة الساعة 14h30,أريانة,المكتب,الجمعة,14h30
rendez vous a le centre samedi,le centre,,samedi,
je vais a ez-zouhour mercredi,ez-zouhour,,mercredi,
من قرطاج إلى حمام الأنف 28 جويلية,حمام الأنف,قرطاج,28 جويلية,
la marsa to the train station friday,the train station,la marsa,friday,
أنا ذاهب إلى باردو الاثنين القادم,باردو,,الاثنين القادم,
من المرسى إلى المهدية الأحد,المهدية,المرسى,الأحد,
خذني إلى القيروان,القيروان,,,
trajet mon domicile sidi bouzid le 10 septembre,sidi bouzid,mon domicile,le 10 septembre,
le kef today,le kef,,today,
تاكسي من المنزل إلى المدينة الأولمبية يوم غدا,المدينة الأولمبية,المنزل,غدا,
أريد الانتقال من المكتب إلى الزهور الأحد القادم,الزهور,المكتب,الأحد القادم,
vous pouvez me conduire de mon hôtel a le bardo mercredi,le bardo,mon hôtel,mercredi,
vous pouvez me conduire de mon bureau a ez-zouhour le 22 novembre,ez-zouhour,mon bureau,le 22 novembre,
3aybni taxi men funduk lel sfax 7 octobre,sfax,funduk,7 octobre,
I have to reach bizerte march 20th before 9h30,bizerte,,march 20th,9h30
I need a taxi to tunis tonight,tunis,,tonight,
je dois etre a gabès pour 21h,gabès,,,21h
heading to beja march 20th at 17h30,beja,,march 20th,17h30
drop me at djerba from sfax next sunday,djerba,sfax,next sunday,
taxi men el-maktab lel kebili 10 septembre 13h30,kebili,el-maktab,10 septembre,13h30
fama taxi lel hammamet el-talata,hammamet,,el-talata,
nemchi medenine 7h,medenine,,,7h
أحتاج أن أصل إلى القيروان الأربعاء,القيروان,,الأربعاء,
خذني إلى المرزكة 7 أكتوبر في 11h30,المرزكة,,7 أكتوبر,11h30
combien pour aller de mon bureau a ez-zouhour le 3 mai 9h30,ez-zouhour,mon bureau,le 3 mai,9h30
هل يمكنني الذهاب إلى المطار غدا في الظهر,المطار,,غدا,الظهر
need to get to djerba by monday,djerba,,monday,
je dois etre a l'aéroport pour 13h,l'aéroport,,,13h
أحتاج أن أصل إلى البحيرة 15 جوان,البحيرة,,15 جوان,
aller a mrezga lundi,mrezga,,lundi,
خذني إلى الكاف الساعة الظهر,الكاف,,,الظهر
I need a ride from the hotel to gafsa april 8th at 6h,gafsa,the hotel,april 8th,6h
can you get me to gabes by 11h30 on this sunday,gabes,,this sunday,11h30
fama taxi lel kef ba3d ghodwa,kef,,ba3d ghodwa,
nemchi bizerte 12h,bizerte,,,12h
nemchi sidi bouzid tawwa fel 18h,sidi bouzid,,tawwa,18h
