sentence,city,place,day,time
take me from  to nabeul el-talata matin,nabeul,,el-talata,matin
I need a taxi to sousse mardi leyl,sousse,gare,mardi,leyl
khodni men aéroport lel hammamet dimanche sbeh,hammamet,aéroport,dimanche,sbeh
take me from maison to hammamet lyoum,hammamet,maison,lyoum,
aller à tunis lyoum après-midi,tunis,bureau,lyoum,après-midi
aller à monastir lundi now,monastir,maison,lundi,now
take me from aéroport to sousse dimanche matin,sousse,aéroport,dimanche,matin
I need a taxi to hammamet mercredi now,hammamet,gare,mercredi,now
take me from gare to sfax apres-demain asr,sfax,gare,apres-demain,asr
nemchi bizerte vendredi now,bizerte,hotel,vendredi,now
أريد الذهاب إلى tunis ghodwa sbeh,tunis,hotel,ghodwa,sbeh
أريد الذهاب إلى sousse dimanche après-midi,sousse,hotel,dimanche,après-midi
أريد الذهاب إلى sfax samedi sbeh,sfax,bureau,samedi,sbeh
nemchi nabeul lundi dhuhr,nabeul,hotel,lundi,dhuhr
nemchi sousse el-lahad soir,sousse,bureau,el-lahad,soir
أريد الذهاب إلى tunis jeudi maghreb,tunis,,jeudi,maghreb
I need a taxi to monastir apres-demain dhuhr,monastir,gare,apres-demain,dhuhr
aller à sfax next tuesday dhuhr,sfax,aéroport,next tuesday,dhuhr
أريد الذهاب إلى kairouan jeudi maghreb,kairouan,maison,jeudi,maghreb
khodni men  lel monastir lundi leyl,monastir,,lundi,leyl
khodni men  lel sousse samedi maghreb,sousse,,samedi,maghreb
nemchi kairouan mardi now,kairouan,bureau,mardi,now
aller à sousse el-talata maghreb,sousse,,el-talata,maghreb
أريد الذهاب إلى nabeul next tuesday asr,nabeul,hotel,next tuesday,asr
nemchi bizerte mercredi asr,bizerte,,mercredi,asr
aller à kairouan dimanche sbeh,kairouan,aéroport,dimanche,sbeh
khodni men maison lel hammamet mercredi dhuhr,hammamet,maison,mercredi,dhuhr
nemchi sfax mercredi,sfax,bureau,mercredi,
nemchi sfax mercredi leyl,sfax,,mercredi,leyl
I need a taxi to tunis jeudi matin,tunis,,jeudi,matin
khodni men gare lel monastir  sbeh,monastir,gare,,sbeh
nemchi bizerte samedi now,bizerte,bureau,samedi,now
أريد الذهاب إلى sfax lundi matin,sfax,hotel,lundi,matin
take me from  to sfax lundi matin,sfax,,lundi,matin
aller à sfax next tuesday dhuhr,sfax,aéroport,next tuesday,dhuhr
أريد الذهاب إلى hammamet dimanche now,hammamet,bureau,dimanche,now
I need a taxi to kairouan lundi now,kairouan,maison,lundi,now
khodni men aéroport lel nabeul,nabeul,aéroport,,
khodni men aéroport lel bizerte  maghreb,bizerte,aéroport,,maghreb
take me from  to nabeul lundi leyl,nabeul,,lundi,leyl
I need a taxi to hammamet next tuesday asr,hammamet,maison,next tuesday,asr
khodni men bureau lel sousse dimanche dhuhr,sousse,bureau,dimanche,dhuhr
aller à sfax ghodwa,sfax,maison,ghodwa,
aller à hammamet mercredi après-midi,hammamet,gare,mercredi,après-midi
take me from bureau to sousse mardi leyl,sousse,bureau,mardi,leyl
I need a taxi to nabeul el-lahad après-midi,nabeul,bureau,el-lahad,après-midi
I need a taxi to tunis mardi soir,tunis,,mardi,soir
I need a taxi to bizerte el-lahad après-midi,bizerte,maison,el-lahad,après-midi
nemchi nabeul  maghreb,nabeul,,,maghreb
take me from aéroport to bizerte samedi now,bizerte,aéroport,samedi,now
I need a taxi to tunis mercredi sbeh,tunis,maison,mercredi,sbeh
khodni men maison lel kairouan  sbeh,kairouan,maison,,sbeh
nemchi tunis jeudi maghreb,tunis,,jeudi,maghreb
I need a taxi to sousse vendredi dhuhr,sousse,maison,vendredi,dhuhr
I need a taxi to hammamet mercredi matin,hammamet,,mercredi,matin
nemchi kairouan lyoum asr,kairouan,bureau,lyoum,asr
aller à sousse samedi matin,sousse,hotel,samedi,matin
khodni men bureau lel tunis dimanche soir,tunis,bureau,dimanche,soir
أريد الذهاب إلى sfax el-jemaa matin,sfax,hotel,el-jemaa,matin
aller à sousse dimanche sbeh,sousse,bureau,dimanche,sbeh
nemchi tunis mercredi asr,tunis,aéroport,mercredi,asr
I need a taxi to bizerte lundi soir,bizerte,maison,lundi,soir
khodni men maison lel kairouan lundi soir,kairouan,maison,lundi,soir
nemchi sousse  leyl,sousse,aéroport,,leyl
I need a taxi to nabeul ghodwa maghreb,nabeul,hotel,ghodwa,maghreb
أريد الذهاب إلى bizerte apres-demain matin,bizerte,bureau,apres-demain,matin
أريد الذهاب إلى monastir vendredi sbeh,monastir,gare,vendredi,sbeh
aller à sfax next tuesday leyl,sfax,gare,next tuesday,leyl
take me from maison to monastir next tuesday maghreb,monastir,maison,next tuesday,maghreb
I need a taxi to tunis el-jemaa maghreb,tunis,hotel,el-jemaa,maghreb
take me from maison to tunis el-talata après-midi,tunis,maison,el-talata,après-midi
aller à sfax jeudi soir,sfax,gare,jeudi,soir
aller à sousse el-talata sbeh,sousse,aéroport,el-talata,sbeh
aller à monastir next tuesday now,monastir,maison,next tuesday,now
nemchi sousse ghodwa soir,sousse,gare,ghodwa,soir
aller à kairouan next tuesday matin,kairouan,gare,next tuesday,matin
take me from bureau to bizerte samedi maghreb,bizerte,bureau,samedi,maghreb
take me from aéroport to sousse mercredi maghreb,sousse,aéroport,mercredi,maghreb
take me from  to tunis next tuesday après-midi,tunis,,next tuesday,après-midi
أريد الذهاب إلى bizerte el-lahad dhuhr,bizerte,gare,el-lahad,dhuhr
aller à bizerte apres-demain now,bizerte,aéroport,apres-demain,now
aller à sousse el-talata asr,sousse,gare,el-talata,asr
khodni men  lel monastir el-jemaa dhuhr,monastir,,el-jemaa,dhuhr
khodni men  lel sfax lundi matin,sfax,,lundi,matin
take me from bureau to kairouan mercredi dhuhr,kairouan,bureau,mercredi,dhuhr
take me from aéroport to sousse lundi,sousse,aéroport,lundi,
أريد الذهاب إلى sfax ghodwa now,sfax,aéroport,ghodwa,now
aller à kairouan lundi sbeh,kairouan,aéroport,lundi,sbeh
aller à nabeul next tuesday leyl,nabeul,maison,next tuesday,leyl
take me from maison to kairouan  leyl,kairouan,maison,,leyl
take me from bureau to bizerte apres-demain asr,bizerte,bureau,apres-demain,asr
aller à bizerte apres-demain après-midi,bizerte,gare,apres-demain,après-midi
aller à sousse mardi,sousse,gare,mardi,
khodni men maison lel monastir vendredi leyl,monastir,maison,vendredi,leyl
take me from bureau to monastir mercredi soir,monastir,bureau,mercredi,soir
I need a taxi to sfax lyoum asr,sfax,aéroport,lyoum,asr
nemchi tunis mardi sbeh,tunis,aéroport,mardi,sbeh
aller à bizerte lyoum asr,bizerte,gare,lyoum,asr
aller à hammamet apres-demain après-midi,hammamet,bureau,apres-demain,après-midi
أريد الذهاب إلى kairouan ghodwa asr,kairouan,maison,ghodwa,asr
khodni men  lel nabeul el-lahad dhuhr,nabeul,,el-lahad,dhuhr
nemchi monastir dimanche,monastir,,dimanche,
khodni men bureau lel hammamet el-jemaa matin,hammamet,bureau,el-jemaa,matin
أريد الذهاب إلى tunis ghodwa soir,tunis,,ghodwa,soir
aller à hammamet  après-midi,hammamet,hotel,,après-midi
I need a taxi to monastir samedi,monastir,hotel,samedi,
I need a taxi to tunis samedi sbeh,tunis,bureau,samedi,sbeh
take me from maison to sousse lyoum sbeh,sousse,maison,lyoum,sbeh
nemchi monastir el-jemaa leyl,monastir,hotel,el-jemaa,leyl
aller à nabeul jeudi soir,nabeul,gare,jeudi,soir
khodni men gare lel bizerte  now,bizerte,gare,,now
aller à monastir  matin,monastir,aéroport,,matin
أريد الذهاب إلى hammamet ghodwa leyl,hammamet,maison,ghodwa,leyl
take me from bureau to sfax apres-demain maghreb,sfax,bureau,apres-demain,maghreb
aller à monastir mardi,monastir,,mardi,
take me from maison to tunis ghodwa soir,tunis,maison,ghodwa,soir
nemchi nabeul samedi maghreb,nabeul,hotel,samedi,maghreb
أريد الذهاب إلى sfax lyoum soir,sfax,maison,lyoum,soir
take me from hotel to monastir vendredi dhuhr,monastir,hotel,vendredi,dhuhr
أريد الذهاب إلى sousse vendredi now,sousse,hotel,vendredi,now
أريد الذهاب إلى kairouan samedi asr,kairouan,bureau,samedi,asr
aller à kairouan apres-demain leyl,kairouan,,apres-demain,leyl
khodni men aéroport lel monastir ghodwa matin,monastir,aéroport,ghodwa,matin
take me from  to tunis samedi sbeh,tunis,,samedi,sbeh
أريد الذهاب إلى nabeul samedi sbeh,nabeul,aéroport,samedi,sbeh
take me from hotel to monastir  après-midi,monastir,hotel,,après-midi
أريد الذهاب إلى nabeul samedi maghreb,nabeul,hotel,samedi,maghreb
أريد الذهاب إلى kairouan lundi maghreb,kairouan,maison,lundi,maghreb
nemchi tunis lyoum sbeh,tunis,gare,lyoum,sbeh
aller à hammamet next tuesday maghreb,hammamet,,next tuesday,maghreb
aller à sfax lundi leyl,sfax,hotel,lundi,leyl
nemchi nabeul,nabeul,gare,,
I need a taxi to nabeul el-talata sbeh,nabeul,gare,el-talata,sbeh
khodni men  lel bizerte lundi leyl,bizerte,,lundi,leyl
khodni men aéroport lel tunis ghodwa après-midi,tunis,aéroport,ghodwa,après-midi
take me from gare to tunis mardi now,tunis,gare,mardi,now
aller à sfax mardi,sfax,bureau,mardi,
aller à monastir el-talata soir,monastir,hotel,el-talata,soir
take me from aéroport to sfax apres-demain matin,sfax,aéroport,apres-demain,matin
أريد الذهاب إلى hammamet lundi soir,hammamet,gare,lundi,soir
nemchi bizerte  asr,bizerte,hotel,,asr
I need a taxi to sousse jeudi now,sousse,,jeudi,now
أريد الذهاب إلى nabeul dimanche sbeh,nabeul,maison,dimanche,sbeh
nemchi hammamet ghodwa après-midi,hammamet,bureau,ghodwa,après-midi
khodni men gare lel kairouan next tuesday now,kairouan,gare,next tuesday,now
take me from bureau to monastir vendredi soir,monastir,bureau,vendredi,soir
khodni men bureau lel hammamet samedi now,hammamet,bureau,samedi,now
take me from  to bizerte lyoum matin,bizerte,,lyoum,matin
أريد الذهاب إلى sousse el-talata après-midi,sousse,bureau,el-talata,après-midi
take me from aéroport to bizerte el-lahad soir,bizerte,aéroport,el-lahad,soir
أريد الذهاب إلى bizerte samedi leyl,bizerte,aéroport,samedi,leyl
khodni men  lel nabeul lundi,nabeul,,lundi,
take me from aéroport to bizerte samedi leyl,bizerte,aéroport,samedi,leyl
nemchi hammamet mardi maghreb,hammamet,maison,mardi,maghreb
aller à kairouan el-lahad now,kairouan,bureau,el-lahad,now
take me from  to monastir lyoum,monastir,,lyoum,
aller à nabeul jeudi leyl,nabeul,aéroport,jeudi,leyl
nemchi nabeul lundi soir,nabeul,hotel,lundi,soir
take me from gare to sfax lundi leyl,sfax,gare,lundi,leyl
I need a taxi to bizerte samedi,bizerte,,samedi,
nemchi monastir lundi maghreb,monastir,,lundi,maghreb
take me from bureau to sfax el-jemaa asr,sfax,bureau,el-jemaa,asr
take me from gare to sousse jeudi soir,sousse,gare,jeudi,soir
I need a taxi to nabeul lyoum leyl,nabeul,,lyoum,leyl
I need a taxi to tunis el-lahad maghreb,tunis,,el-lahad,maghreb
أريد الذهاب إلى kairouan vendredi maghreb,kairouan,,vendredi,maghreb
take me from gare to nabeul lyoum dhuhr,nabeul,gare,lyoum,dhuhr
aller à sfax lundi soir,sfax,bureau,lundi,soir
nemchi sousse el-lahad,sousse,maison,el-lahad,
nemchi hammamet mardi dhuhr,hammamet,bureau,mardi,dhuhr
aller à hammamet,hammamet,aéroport,,
take me from  to sfax el-jemaa asr,sfax,,el-jemaa,asr
I need a taxi to sfax lundi sbeh,sfax,hotel,lundi,sbeh
take me from aéroport to bizerte next tuesday après-midi,bizerte,aéroport,next tuesday,après-midi
aller à kairouan mercredi now,kairouan,gare,mercredi,now
I need a taxi to nabeul next tuesday dhuhr,nabeul,hotel,next tuesday,dhuhr
أريد الذهاب إلى sousse mercredi now,sousse,hotel,mercredi,now
aller à sfax mardi sbeh,sfax,bureau,mardi,sbeh
nemchi kairouan el-talata,kairouan,bureau,el-talata,
nemchi monastir  leyl,monastir,aéroport,,leyl
khodni men hotel lel monastir mardi,monastir,hotel,mardi,
nemchi hammamet dimanche now,hammamet,aéroport,dimanche,now
take me from  to sousse mardi dhuhr,sousse,,mardi,dhuhr
أريد الذهاب إلى nabeul  now,nabeul,maison,,now
I need a taxi to monastir el-lahad leyl,monastir,bureau,el-lahad,leyl
I need a taxi to kairouan apres-demain matin,kairouan,hotel,apres-demain,matin
take me from  to tunis el-jemaa soir,tunis,,el-jemaa,soir
take me from aéroport to nabeul lundi soir,nabeul,aéroport,lundi,soir
khodni men  lel bizerte samedi dhuhr,bizerte,,samedi,dhuhr
nemchi bizerte lyoum sbeh,bizerte,maison,lyoum,sbeh
aller à bizerte  maghreb,bizerte,bureau,,maghreb
nemchi nabeul el-jemaa matin,nabeul,hotel,el-jemaa,matin
take me from hotel to sfax lyoum maghreb,sfax,hotel,lyoum,maghreb
take me from bureau to kairouan next tuesday matin,kairouan,bureau,next tuesday,matin
take me from bureau to sousse dimanche dhuhr,sousse,bureau,dimanche,dhuhr
khodni men hotel lel kairouan  asr,kairouan,hotel,,asr
aller à sousse el-jemaa dhuhr,sousse,gare,el-jemaa,dhuhr
nemchi sfax apres-demain après-midi,sfax,hotel,apres-demain,après-midi
nemchi hammamet samedi matin,hammamet,bureau,samedi,matin
I need a taxi to kairouan samedi matin,kairouan,hotel,samedi,matin
أريد الذهاب إلى sousse jeudi leyl,sousse,aéroport,jeudi,leyl
أريد الذهاب إلى sfax lundi dhuhr,sfax,bureau,lundi,dhuhr
nemchi sfax lyoum,sfax,gare,lyoum,
khodni men maison lel nabeul el-talata dhuhr,nabeul,maison,el-talata,dhuhr
khodni men maison lel monastir el-jemaa après-midi,monastir,maison,el-jemaa,après-midi
أريد الذهاب إلى kairouan mardi now,kairouan,aéroport,mardi,now
khodni men maison lel sousse el-jemaa,sousse,maison,el-jemaa,
nemchi tunis jeudi sbeh,tunis,aéroport,jeudi,sbeh
take me from bureau to sousse dimanche soir,sousse,bureau,dimanche,soir
aller à sfax el-jemaa leyl,sfax,bureau,el-jemaa,leyl
nemchi hammamet samedi dhuhr,hammamet,aéroport,samedi,dhuhr
أريد الذهاب إلى hammamet next tuesday now,hammamet,hotel,next tuesday,now
nemchi kairouan el-jemaa asr,kairouan,bureau,el-jemaa,asr
أريد الذهاب إلى nabeul samedi leyl,nabeul,bureau,samedi,leyl
aller à kairouan dimanche,kairouan,,dimanche,
I need a taxi to monastir ghodwa leyl,monastir,maison,ghodwa,leyl
khodni men bureau lel sousse next tuesday,sousse,bureau,next tuesday,
nemchi monastir lyoum maghreb,monastir,,lyoum,maghreb
I need a taxi to bizerte mercredi asr,bizerte,aéroport,mercredi,asr
khodni men  lel kairouan el-talata sbeh,kairouan,,el-talata,sbeh
I need a taxi to bizerte vendredi dhuhr,bizerte,maison,vendredi,dhuhr
أريد الذهاب إلى monastir dimanche maghreb,monastir,hotel,dimanche,maghreb
take me from maison to tunis dimanche leyl,tunis,maison,dimanche,leyl
nemchi nabeul dimanche leyl,nabeul,hotel,dimanche,leyl
I need a taxi to sousse  now,sousse,,,now
nemchi monastir el-jemaa asr,monastir,gare,el-jemaa,asr
aller à nabeul el-talata sbeh,nabeul,bureau,el-talata,sbeh
khodni men aéroport lel tunis lyoum après-midi,tunis,aéroport,lyoum,après-midi
aller à kairouan next tuesday soir,kairouan,hotel,next tuesday,soir
nemchi nabeul el-talata leyl,nabeul,bureau,el-talata,leyl
nemchi bizerte next tuesday,bizerte,gare,next tuesday,
aller à bizerte mercredi maghreb,bizerte,maison,mercredi,maghreb
take me from maison to nabeul lundi après-midi,nabeul,maison,lundi,après-midi
khodni men gare lel kairouan vendredi matin,kairouan,gare,vendredi,matin
nemchi sousse mercredi maghreb,sousse,bureau,mercredi,maghreb
aller à kairouan ghodwa dhuhr,kairouan,gare,ghodwa,dhuhr
I need a taxi to sfax dimanche soir,sfax,,dimanche,soir
take me from bureau to tunis el-jemaa sbeh,tunis,bureau,el-jemaa,sbeh
أريد الذهاب إلى nabeul ghodwa leyl,nabeul,hotel,ghodwa,leyl
aller à hammamet lyoum maghreb,hammamet,gare,lyoum,maghreb
aller à hammamet next tuesday,hammamet,,next tuesday,
aller à sousse next tuesday,sousse,bureau,next tuesday,
nemchi nabeul el-talata asr,nabeul,aéroport,el-talata,asr
take me from  to kairouan el-lahad asr,kairouan,,el-lahad,asr
I need a taxi to monastir ghodwa maghreb,monastir,bureau,ghodwa,maghreb
I need a taxi to tunis apres-demain soir,tunis,,apres-demain,soir
أريد الذهاب إلى sfax ghodwa sbeh,sfax,,ghodwa,sbeh
I need a taxi to tunis lyoum maghreb,tunis,bureau,lyoum,maghreb
I need a taxi to sousse el-jemaa now,sousse,aéroport,el-jemaa,now
أريد الذهاب إلى kairouan vendredi après-midi,kairouan,hotel,vendredi,après-midi
أريد الذهاب إلى bizerte jeudi,bizerte,gare,jeudi,
khodni men gare lel kairouan vendredi matin,kairouan,gare,vendredi,matin
nemchi bizerte mardi asr,bizerte,hotel,mardi,asr
I need a taxi to nabeul dimanche après-midi,nabeul,aéroport,dimanche,après-midi
I need a taxi to hammamet vendredi dhuhr,hammamet,hotel,vendredi,dhuhr
أريد الذهاب إلى tunis lundi matin,tunis,aéroport,lundi,matin
I need a taxi to nabeul next tuesday matin,nabeul,aéroport,next tuesday,matin
aller à nabeul samedi sbeh,nabeul,bureau,samedi,sbeh
أريد الذهاب إلى nabeul vendredi leyl,nabeul,gare,vendredi,leyl
أريد الذهاب إلى sousse el-jemaa,sousse,aéroport,el-jemaa,
I need a taxi to monastir ghodwa asr,monastir,bureau,ghodwa,asr
I need a taxi to hammamet lyoum now,hammamet,hotel,lyoum,now
I need a taxi to sousse el-talata dhuhr,sousse,gare,el-talata,dhuhr
take me from maison to tunis apres-demain asr,tunis,maison,apres-demain,asr
I need a taxi to sousse lyoum asr,sousse,bureau,lyoum,asr
nemchi bizerte lundi sbeh,bizerte,gare,lundi,sbeh
أريد الذهاب إلى kairouan el-lahad sbeh,kairouan,maison,el-lahad,sbeh
take me from maison to bizerte jeudi asr,bizerte,maison,jeudi,asr
khodni men hotel lel tunis vendredi maghreb,tunis,hotel,vendredi,maghreb
أريد الذهاب إلى hammamet lyoum asr,hammamet,bureau,lyoum,asr
aller à hammamet mardi asr,hammamet,bureau,mardi,asr
khodni men gare lel sousse el-lahad sbeh,sousse,gare,el-lahad,sbeh
I need a taxi to hammamet  après-midi,hammamet,hotel,,après-midi
I need a taxi to sousse ghodwa leyl,sousse,hotel,ghodwa,leyl
I need a taxi to kairouan lundi dhuhr,kairouan,aéroport,lundi,dhuhr
nemchi monastir ghodwa,monastir,maison,ghodwa,
أريد الذهاب إلى sfax dimanche,sfax,gare,dimanche,
أريد الذهاب إلى hammamet samedi après-midi,hammamet,hotel,samedi,après-midi
aller à kairouan ghodwa maghreb,kairouan,hotel,ghodwa,maghreb
nemchi kairouan el-lahad soir,kairouan,hotel,el-lahad,soir
I need a taxi to nabeul next tuesday asr,nabeul,maison,next tuesday,asr
I need a taxi to bizerte ghodwa now,bizerte,gare,ghodwa,now
أريد الذهاب إلى monastir lundi asr,monastir,,lundi,asr
take me from  to tunis lundi now,tunis,,lundi,now
aller à sousse mercredi,sousse,bureau,mercredi,
take me from aéroport to bizerte lundi now,bizerte,aéroport,lundi,now
aller à kairouan apres-demain après-midi,kairouan,bureau,apres-demain,après-midi
take me from hotel to monastir samedi sbeh,monastir,hotel,samedi,sbeh
nemchi hammamet  soir,hammamet,gare,,soir
أريد الذهاب إلى kairouan lyoum maghreb,kairouan,bureau,lyoum,maghreb
أريد الذهاب إلى monastir el-lahad sbeh,monastir,gare,el-lahad,sbeh
khodni men hotel lel tunis lundi asr,tunis,hotel,lundi,asr
aller à nabeul ghodwa leyl,nabeul,hotel,ghodwa,leyl
I need a taxi to monastir dimanche sbeh,monastir,bureau,dimanche,sbeh
aller à monastir mardi sbeh,monastir,gare,mardi,sbeh
khodni men maison lel nabeul mardi après-midi,nabeul,maison,mardi,après-midi
أريد الذهاب إلى sousse apres-demain soir,sousse,bureau,apres-demain,soir
أريد الذهاب إلى tunis mercredi asr,tunis,gare,mercredi,asr
nemchi sousse mercredi leyl,sousse,maison,mercredi,leyl
I need a taxi to monastir samedi leyl,monastir,maison,samedi,leyl
nemchi monastir el-talata leyl,monastir,maison,el-talata,leyl
أريد الذهاب إلى kairouan el-talata soir,kairouan,,el-talata,soir
take me from bureau to nabeul vendredi après-midi,nabeul,bureau,vendredi,après-midi
nemchi monastir lundi leyl,monastir,,lundi,leyl
aller à monastir jeudi,monastir,aéroport,jeudi,
I need a taxi to kairouan samedi,kairouan,gare,samedi,
take me from hotel to sousse jeudi après-midi,sousse,hotel,jeudi,après-midi
aller à monastir dimanche asr,monastir,gare,dimanche,asr
nemchi monastir el-lahad asr,monastir,,el-lahad,asr
take me from bureau to bizerte el-lahad maghreb,bizerte,bureau,el-lahad,maghreb
khodni men gare lel bizerte el-talata maghreb,bizerte,gare,el-talata,maghreb
أريد الذهاب إلى sousse samedi soir,sousse,,samedi,soir
aller à tunis samedi maghreb,tunis,gare,samedi,maghreb
I need a taxi to bizerte  now,bizerte,aéroport,,now
khodni men maison lel monastir el-lahad now,monastir,maison,el-lahad,now
I need a taxi to bizerte jeudi après-midi,bizerte,hotel,jeudi,après-midi
take me from gare to hammamet vendredi sbeh,hammamet,gare,vendredi,sbeh
I need a taxi to bizerte jeudi soir,bizerte,,jeudi,soir
nemchi kairouan mardi sbeh,kairouan,,mardi,sbeh
aller à bizerte mercredi maghreb,bizerte,bureau,mercredi,maghreb
أريد الذهاب إلى tunis dimanche matin,tunis,maison,dimanche,matin
أريد الذهاب إلى nabeul samedi après-midi,nabeul,maison,samedi,après-midi
nemchi tunis lundi soir,tunis,,lundi,soir
take me from hotel to tunis next tuesday dhuhr,tunis,hotel,next tuesday,dhuhr
take me from hotel to monastir mardi asr,monastir,hotel,mardi,asr
aller à monastir el-talata dhuhr,monastir,,el-talata,dhuhr
aller à bizerte jeudi asr,bizerte,bureau,jeudi,asr
take me from aéroport to kairouan jeudi,kairouan,aéroport,jeudi,
أريد الذهاب إلى bizerte lyoum asr,bizerte,gare,lyoum,asr
