sentence,city,place,day,time
take me from bureau to bizerte el-jemaa asr,bizerte,bureau,el-jemaa,asr
take me from bureau to sfax vendredi après-midi,sfax,bureau,vendredi,après-midi
nemchi hammamet next tuesday maghreb,hammamet,aéroport,next tuesday,maghreb
aller à hammamet vendredi asr,hammamet,gare,vendredi,asr
أريد الذهاب إلى sfax lyoum asr,sfax,gare,lyoum,asr
I need a taxi to kairouan mercredi asr,kairouan,gare,mercredi,asr
I need a taxi to monastir jeudi,monastir,gare,jeudi,
I need a taxi to nabeul mardi sbeh,nabeul,hotel,mardi,sbeh
أريد الذهاب إلى sousse vendredi now,sousse,aéroport,vendredi,now
nemchi monastir mercredi soir,monastir,maison,mercredi,soir
nemchi monastir lundi sbeh,monastir,,lundi,sbeh
nemchi nabeul apres-demain après-midi,nabeul,aéroport,apres-demain,après-midi
take me from bureau to bizerte mardi soir,bizerte,bureau,mardi,soir
I need a taxi to monastir dimanche now,monastir,aéroport,dimanche,now
أريد الذهاب إلى nabeul el-talata now,nabeul,aéroport,el-talata,now
khodni men  lel monastir  now,monastir,,,now
take me from bureau to kairouan el-talata matin,kairouan,bureau,el-talata,matin
I need a taxi to kairouan mercredi asr,kairouan,,mercredi,asr
أريد الذهاب إلى bizerte mardi sbeh,bizerte,hotel,mardi,sbeh
take me from gare to sfax dimanche now,sfax,gare,dimanche,now
nemchi hammamet mardi,hammamet,gare,mardi,
nemchi tunis lyoum dhuhr,tunis,,lyoum,dhuhr
أريد الذهاب إلى nabeul next tuesday maghreb,nabeul,gare,next tuesday,maghreb
I need a taxi to sousse dimanche sbeh,sousse,bureau,dimanche,sbeh
take me from  to bizerte next tuesday sbeh,bizerte,,next tuesday,sbeh
nemchi tunis samedi leyl,tunis,hotel,samedi,leyl
I need a taxi to hammamet ghodwa leyl,hammamet,bureau,ghodwa,leyl
أريد الذهاب إلى kairouan apres-demain dhuhr,kairouan,gare,apres-demain,dhuhr
nemchi hammamet lundi après-midi,hammamet,hotel,lundi,après-midi
أريد الذهاب إلى sousse next tuesday dhuhr,sousse,gare,next tuesday,dhuhr
أريد الذهاب إلى kairouan dimanche maghreb,kairouan,gare,dimanche,maghreb
I need a taxi to bizerte apres-demain asr,bizerte,,apres-demain,asr
nemchi sfax el-talata matin,sfax,aéroport,el-talata,matin
aller à tunis apres-demain,tunis,hotel,apres-demain,
nemchi bizerte jeudi leyl,bizerte,,jeudi,leyl
aller à hammamet mardi après-midi,hammamet,,mardi,après-midi
take me from hotel to tunis ghodwa asr,tunis,hotel,ghodwa,asr
khodni men gare lel sfax mardi asr,sfax,gare,mardi,asr
aller à kairouan mercredi dhuhr,kairouan,gare,mercredi,dhuhr
aller à hammamet vendredi maghreb,hammamet,hotel,vendredi,maghreb
take me from gare to kairouan el-lahad matin,kairouan,gare,el-lahad,matin
take me from aéroport to bizerte lundi soir,bizerte,aéroport,lundi,soir
take me from maison to monastir vendredi soir,monastir,maison,vendredi,soir
nemchi nabeul apres-demain now,nabeul,aéroport,apres-demain,now
I need a taxi to sousse next tuesday asr,sousse,aéroport,next tuesday,asr
take me from maison to kairouan el-jemaa now,kairouan,maison,el-jemaa,now
nemchi tunis lyoum maghreb,tunis,hotel,lyoum,maghreb
أريد الذهاب إلى sfax mardi maghreb,sfax,maison,mardi,maghreb
I need a taxi to tunis  matin,tunis,gare,,matin
I need a taxi to nabeul mercredi,nabeul,maison,mercredi,
khodni men gare lel monastir el-jemaa now,monastir,gare,el-jemaa,now
aller à sfax mercredi maghreb,sfax,bureau,mercredi,maghreb
I need a taxi to sousse el-talata après-midi,sousse,maison,el-talata,après-midi
nemchi sousse dimanche après-midi,sousse,aéroport,dimanche,après-midi
khodni men  lel monastir next tuesday sbeh,monastir,,next tuesday,sbeh
I need a taxi to nabeul el-jemaa asr,nabeul,gare,el-jemaa,asr
aller à sfax jeudi leyl,sfax,gare,jeudi,leyl
aller à sousse lundi soir,sousse,,lundi,soir
take me from bureau to tunis ghodwa après-midi,tunis,bureau,ghodwa,après-midi
أريد الذهاب إلى sousse lyoum leyl,sousse,hotel,lyoum,leyl
take me from hotel to monastir lundi now,monastir,hotel,lundi,now
nemchi kairouan el-jemaa leyl,kairouan,gare,el-jemaa,leyl
take me from  to sousse next tuesday sbeh,sousse,,next tuesday,sbeh
khodni men aéroport lel hammamet,hammamet,aéroport,,
nemchi bizerte mercredi leyl,bizerte,maison,mercredi,leyl
aller à sousse mardi now,sousse,bureau,mardi,now
I need a taxi to kairouan ghodwa soir,kairouan,gare,ghodwa,soir
khodni men gare lel kairouan apres-demain maghreb,kairouan,gare,apres-demain,maghreb
khodni men bureau lel sfax lyoum leyl,sfax,bureau,lyoum,leyl
I need a taxi to nabeul ghodwa asr,nabeul,gare,ghodwa,asr
khodni men bureau lel nabeul jeudi sbeh,nabeul,bureau,jeudi,sbeh
أريد الذهاب إلى sousse samedi matin,sousse,maison,samedi,matin
nemchi monastir lundi asr,monastir,hotel,lundi,asr
nemchi nabeul apres-demain dhuhr,nabeul,,apres-demain,dhuhr
أريد الذهاب إلى sfax dimanche matin,sfax,hotel,dimanche,matin
nemchi nabeul mardi asr,nabeul,hotel,mardi,asr
I need a taxi to sousse ghodwa leyl,sousse,gare,ghodwa,leyl
take me from  to kairouan vendredi matin,kairouan,,vendredi,matin
take me from bureau to tunis apres-demain après-midi,tunis,bureau,apres-demain,après-midi
khodni men hotel lel bizerte samedi soir,bizerte,hotel,samedi,soir
aller à tunis vendredi dhuhr,tunis,hotel,vendredi,dhuhr
aller à hammamet apres-demain asr,hammamet,maison,apres-demain,asr
nemchi monastir lyoum leyl,monastir,,lyoum,leyl
khodni men aéroport lel hammamet jeudi sbeh,hammamet,aéroport,jeudi,sbeh
أريد الذهاب إلى nabeul el-jemaa soir,nabeul,bureau,el-jemaa,soir
aller à nabeul apres-demain sbeh,nabeul,gare,apres-demain,sbeh
I need a taxi to kairouan  now,kairouan,,,now
I need a taxi to bizerte el-lahad sbeh,bizerte,aéroport,el-lahad,sbeh
nemchi nabeul ghodwa sbeh,nabeul,bureau,ghodwa,sbeh
aller à sfax el-jemaa sbeh,sfax,,el-jemaa,sbeh
I need a taxi to hammamet el-talata sbeh,hammamet,maison,el-talata,sbeh
أريد الذهاب إلى hammamet vendredi maghreb,hammamet,,vendredi,maghreb
aller à nabeul samedi,nabeul,bureau,samedi,
take me from maison to nabeul vendredi après-midi,nabeul,maison,vendredi,après-midi
aller à tunis el-talata dhuhr,tunis,aéroport,el-talata,dhuhr
أريد الذهاب إلى monastir el-jemaa maghreb,monastir,bureau,el-jemaa,maghreb
I need a taxi to hammamet samedi dhuhr,hammamet,hotel,samedi,dhuhr
aller à sousse lyoum,sousse,maison,lyoum,
take me from aéroport to kairouan  sbeh,kairouan,aéroport,,sbeh
khodni men gare lel sfax mercredi après-midi,sfax,gare,mercredi,après-midi
khodni men maison lel nabeul el-talata maghreb,nabeul,maison,el-talata,maghreb
take me from maison to sfax mercredi soir,sfax,maison,mercredi,soir
take me from  to tunis jeudi asr,tunis,,jeudi,asr
aller à nabeul jeudi matin,nabeul,gare,jeudi,matin
I need a taxi to tunis dimanche sbeh,tunis,aéroport,dimanche,sbeh
aller à nabeul lundi asr,nabeul,,lundi,asr
take me from aéroport to kairouan samedi,kairouan,aéroport,samedi,
aller à nabeul el-talata now,nabeul,maison,el-talata,now
aller à hammamet lundi leyl,hammamet,hotel,lundi,leyl
aller à nabeul jeudi maghreb,nabeul,maison,jeudi,maghreb
aller à monastir ghodwa après-midi,monastir,aéroport,ghodwa,après-midi
take me from hotel to hammamet mercredi après-midi,hammamet,hotel,mercredi,après-midi
أريد الذهاب إلى tunis el-jemaa matin,tunis,maison,el-jemaa,matin
I need a taxi to tunis dimanche dhuhr,tunis,hotel,dimanche,dhuhr
khodni men gare lel hammamet dimanche maghreb,hammamet,gare,dimanche,maghreb
nemchi sousse next tuesday leyl,sousse,maison,next tuesday,leyl
aller à sousse el-jemaa asr,sousse,aéroport,el-jemaa,asr
أريد الذهاب إلى kairouan apres-demain sbeh,kairouan,hotel,apres-demain,sbeh
I need a taxi to tunis samedi maghreb,tunis,,samedi,maghreb
I need a taxi to tunis lundi sbeh,tunis,gare,lundi,sbeh
khodni men bureau lel kairouan el-jemaa après-midi,kairouan,bureau,el-jemaa,après-midi
take me from aéroport to sfax jeudi maghreb,sfax,aéroport,jeudi,maghreb
take me from  to hammamet lyoum asr,hammamet,,lyoum,asr
take me from maison to kairouan samedi sbeh,kairouan,maison,samedi,sbeh
nemchi tunis ghodwa dhuhr,tunis,hotel,ghodwa,dhuhr
أريد الذهاب إلى monastir jeudi,monastir,aéroport,jeudi,
أريد الذهاب إلى sousse el-lahad maghreb,sousse,hotel,el-lahad,maghreb
aller à sfax jeudi matin,sfax,hotel,jeudi,matin
khodni men gare lel nabeul el-jemaa soir,nabeul,gare,el-jemaa,soir
I need a taxi to bizerte lundi soir,bizerte,aéroport,lundi,soir
أريد الذهاب إلى sfax apres-demain après-midi,sfax,bureau,apres-demain,après-midi
aller à tunis jeudi sbeh,tunis,gare,jeudi,sbeh
take me from gare to sousse jeudi après-midi,sousse,gare,jeudi,après-midi
take me from aéroport to hammamet vendredi soir,hammamet,aéroport,vendredi,soir
I need a taxi to bizerte  sbeh,bizerte,hotel,,sbeh
khodni men aéroport lel nabeul next tuesday now,nabeul,aéroport,next tuesday,now
أريد الذهاب إلى sousse apres-demain leyl,sousse,aéroport,apres-demain,leyl
khodni men  lel tunis el-jemaa leyl,tunis,,el-jemaa,leyl
khodni men gare lel monastir next tuesday matin,monastir,gare,next tuesday,matin
khodni men aéroport lel monastir  matin,monastir,aéroport,,matin
أريد الذهاب إلى hammamet dimanche maghreb,hammamet,gare,dimanche,maghreb
take me from hotel to bizerte mercredi,bizerte,hotel,mercredi,
I need a taxi to nabeul el-lahad matin,nabeul,aéroport,el-lahad,matin
khodni men gare lel sfax ghodwa dhuhr,sfax,gare,ghodwa,dhuhr
take me from aéroport to monastir el-jemaa dhuhr,monastir,aéroport,el-jemaa,dhuhr
take me from maison to sousse  dhuhr,sousse,maison,,dhuhr
khodni men aéroport lel sousse jeudi soir,sousse,aéroport,jeudi,soir
aller à nabeul el-talata leyl,nabeul,hotel,el-talata,leyl
aller à sfax el-lahad matin,sfax,aéroport,el-lahad,matin
I need a taxi to tunis el-talata matin,tunis,gare,el-talata,matin
take me from maison to kairouan samedi now,kairouan,maison,samedi,now
aller à bizerte mardi soir,bizerte,aéroport,mardi,soir
take me from aéroport to kairouan vendredi sbeh,kairouan,aéroport,vendredi,sbeh
أريد الذهاب إلى kairouan  dhuhr,kairouan,hotel,,dhuhr
I need a taxi to sousse jeudi soir,sousse,gare,jeudi,soir
I need a taxi to monastir mercredi matin,monastir,aéroport,mercredi,matin
aller à sousse samedi dhuhr,sousse,aéroport,samedi,dhuhr
nemchi sousse apres-demain now,sousse,hotel,apres-demain,now
aller à hammamet apres-demain asr,hammamet,maison,apres-demain,asr
nemchi sousse apres-demain now,sousse,maison,apres-demain,now
aller à sfax mardi soir,sfax,bureau,mardi,soir
I need a taxi to sousse next tuesday maghreb,sousse,hotel,next tuesday,maghreb
take me from aéroport to nabeul mercredi sbeh,nabeul,aéroport,mercredi,sbeh
أريد الذهاب إلى nabeul next tuesday après-midi,nabeul,maison,next tuesday,après-midi
I need a taxi to sfax el-jemaa asr,sfax,maison,el-jemaa,asr
أريد الذهاب إلى monastir el-lahad leyl,monastir,,el-lahad,leyl
أريد الذهاب إلى bizerte mardi now,bizerte,gare,mardi,now
أريد الذهاب إلى nabeul dimanche soir,nabeul,,dimanche,soir
khodni men hotel lel bizerte apres-demain soir,bizerte,hotel,apres-demain,soir
أريد الذهاب إلى bizerte vendredi,bizerte,hotel,vendredi,
aller à nabeul lyoum matin,nabeul,hotel,lyoum,matin
I need a taxi to tunis ghodwa matin,tunis,,ghodwa,matin
أريد الذهاب إلى nabeul apres-demain,nabeul,gare,apres-demain,
أريد الذهاب إلى sousse jeudi maghreb,sousse,,jeudi,maghreb
aller à tunis dimanche maghreb,tunis,,dimanche,maghreb
nemchi tunis vendredi,tunis,maison,vendredi,
nemchi sousse jeudi now,sousse,,jeudi,now
khodni men gare lel kairouan jeudi leyl,kairouan,gare,jeudi,leyl
take me from aéroport to tunis lundi now,tunis,aéroport,lundi,now
aller à bizerte el-jemaa dhuhr,bizerte,aéroport,el-jemaa,dhuhr
I need a taxi to monastir  matin,monastir,gare,,matin
nemchi hammamet lundi leyl,hammamet,maison,lundi,leyl
nemchi kairouan ghodwa dhuhr,kairouan,bureau,ghodwa,dhuhr
nemchi nabeul dimanche leyl,nabeul,bureau,dimanche,leyl
aller à monastir mardi après-midi,monastir,aéroport,mardi,après-midi
take me from maison to monastir next tuesday matin,monastir,maison,next tuesday,matin
I need a taxi to hammamet ghodwa maghreb,hammamet,,ghodwa,maghreb
I need a taxi to bizerte samedi now,bizerte,gare,samedi,now
khodni men hotel lel kairouan next tuesday now,kairouan,hotel,next tuesday,now
khodni men aéroport lel sousse el-jemaa leyl,sousse,aéroport,el-jemaa,leyl
khodni men hotel lel monastir next tuesday asr,monastir,hotel,next tuesday,asr
nemchi kairouan el-jemaa asr,kairouan,bureau,el-jemaa,asr
I need a taxi to bizerte samedi maghreb,bizerte,maison,samedi,maghreb
khodni men bureau lel nabeul next tuesday now,nabeul,bureau,next tuesday,now
nemchi sousse jeudi leyl,sousse,bureau,jeudi,leyl
take me from bureau to sfax mercredi soir,sfax,bureau,mercredi,soir
aller à kairouan jeudi après-midi,kairouan,gare,jeudi,après-midi
I need a taxi to sfax dimanche après-midi,sfax,bureau,dimanche,après-midi
khodni men aéroport lel monastir mercredi soir,monastir,aéroport,mercredi,soir
nemchi kairouan apres-demain,kairouan,gare,apres-demain,
take me from aéroport to monastir mercredi asr,monastir,aéroport,mercredi,asr
take me from maison to bizerte next tuesday soir,bizerte,maison,next tuesday,soir
aller à nabeul mercredi soir,nabeul,bureau,mercredi,soir
I need a taxi to monastir apres-demain matin,monastir,maison,apres-demain,matin
khodni men hotel lel tunis lyoum matin,tunis,hotel,lyoum,matin
I need a taxi to hammamet mercredi maghreb,hammamet,aéroport,mercredi,maghreb
أريد الذهاب إلى monastir next tuesday matin,monastir,bureau,next tuesday,matin
I need a taxi to kairouan el-lahad après-midi,kairouan,gare,el-lahad,après-midi
nemchi sousse mercredi now,sousse,gare,mercredi,now
أريد الذهاب إلى bizerte samedi leyl,bizerte,bureau,samedi,leyl
I need a taxi to sousse el-lahad asr,sousse,aéroport,el-lahad,asr
أريد الذهاب إلى hammamet ghodwa dhuhr,hammamet,gare,ghodwa,dhuhr
I need a taxi to hammamet samedi sbeh,hammamet,aéroport,samedi,sbeh
I need a taxi to bizerte samedi now,bizerte,gare,samedi,now
أريد الذهاب إلى nabeul lundi dhuhr,nabeul,maison,lundi,dhuhr
nemchi nabeul lundi sbeh,nabeul,,lundi,sbeh
khodni men maison lel hammamet samedi matin,hammamet,maison,samedi,matin
I need a taxi to nabeul jeudi sbeh,nabeul,hotel,jeudi,sbeh
I need a taxi to sousse next tuesday,sousse,maison,next tuesday,
nemchi tunis el-talata asr,tunis,maison,el-talata,asr
nemchi hammamet mardi now,hammamet,maison,mardi,now
take me from hotel to sfax el-jemaa,sfax,hotel,el-jemaa,
أريد الذهاب إلى monastir vendredi soir,monastir,hotel,vendredi,soir
nemchi bizerte lundi matin,bizerte,maison,lundi,matin
take me from bureau to bizerte jeudi asr,bizerte,bureau,jeudi,asr
take me from  to tunis mardi maghreb,tunis,,mardi,maghreb
أريد الذهاب إلى sousse jeudi matin,sousse,,jeudi,matin
أريد الذهاب إلى nabeul el-jemaa dhuhr,nabeul,hotel,el-jemaa,dhuhr
أريد الذهاب إلى hammamet ghodwa,hammamet,maison,ghodwa,
take me from aéroport to tunis el-talata après-midi,tunis,aéroport,el-talata,après-midi
khodni men aéroport lel monastir next tuesday dhuhr,monastir,aéroport,next tuesday,dhuhr
nemchi nabeul el-lahad après-midi,nabeul,aéroport,el-lahad,après-midi
أريد الذهاب إلى tunis mercredi leyl,tunis,,mercredi,leyl
aller à hammamet vendredi maghreb,hammamet,,vendredi,maghreb
I need a taxi to bizerte lyoum dhuhr,bizerte,hotel,lyoum,dhuhr
nemchi nabeul  sbeh,nabeul,bureau,,sbeh
aller à monastir mercredi,monastir,bureau,mercredi,
I need a taxi to monastir  matin,monastir,maison,,matin
nemchi hammamet  dhuhr,hammamet,bureau,,dhuhr
nemchi nabeul next tuesday après-midi,nabeul,gare,next tuesday,après-midi
take me from  to sousse vendredi matin,sousse,,vendredi,matin
أريد الذهاب إلى monastir vendredi matin,monastir,bureau,vendredi,matin
أريد الذهاب إلى hammamet el-jemaa après-midi,hammamet,maison,el-jemaa,après-midi
nemchi sousse el-jemaa matin,sousse,maison,el-jemaa,matin
أريد الذهاب إلى nabeul dimanche now,nabeul,gare,dimanche,now
khodni men hotel lel sousse next tuesday dhuhr,sousse,hotel,next tuesday,dhuhr
أريد الذهاب إلى nabeul lyoum now,nabeul,bureau,lyoum,now
aller à monastir el-talata soir,monastir,aéroport,el-talata,soir
I need a taxi to kairouan apres-demain asr,kairouan,aéroport,apres-demain,asr
I need a taxi to sousse samedi après-midi,sousse,gare,samedi,après-midi
khodni men hotel lel kairouan el-jemaa matin,kairouan,hotel,el-jemaa,matin
nemchi nabeul samedi asr,nabeul,maison,samedi,asr
I need a taxi to sfax el-lahad maghreb,sfax,aéroport,el-lahad,maghreb
أريد الذهاب إلى sousse lundi,sousse,aéroport,lundi,
khodni men hotel lel kairouan mardi,kairouan,hotel,mardi,
أريد الذهاب إلى sfax ghodwa sbeh,sfax,gare,ghodwa,sbeh
khodni men bureau lel monastir el-jemaa maghreb,monastir,bureau,el-jemaa,maghreb
khodni men aéroport lel monastir mardi maghreb,monastir,aéroport,mardi,maghreb
أريد الذهاب إلى monastir vendredi sbeh,monastir,maison,vendredi,sbeh
khodni men  lel bizerte ghodwa après-midi,bizerte,,ghodwa,après-midi
take me from maison to nabeul lundi maghreb,nabeul,maison,lundi,maghreb
take me from aéroport to hammamet  asr,hammamet,aéroport,,asr
aller à nabeul ghodwa après-midi,nabeul,aéroport,ghodwa,après-midi
I need a taxi to bizerte jeudi soir,bizerte,aéroport,jeudi,soir
take me from bureau to nabeul vendredi matin,nabeul,bureau,vendredi,matin
khodni men gare lel kairouan lundi soir,kairouan,gare,lundi,soir
أريد الذهاب إلى sfax el-lahad matin,sfax,bureau,el-lahad,matin
take me from hotel to monastir  soir,monastir,hotel,,soir
khodni men  lel hammamet samedi soir,hammamet,,samedi,soir
aller à nabeul next tuesday après-midi,nabeul,bureau,next tuesday,après-midi
I need a taxi to tunis lyoum leyl,tunis,,lyoum,leyl
aller à sousse ghodwa soir,sousse,maison,ghodwa,soir
nemchi tunis mardi leyl,tunis,maison,mardi,leyl
aller à kairouan el-jemaa leyl,kairouan,maison,el-jemaa,leyl
take me from maison to hammamet jeudi now,hammamet,maison,jeudi,now
aller à bizerte el-lahad maghreb,bizerte,hotel,el-lahad,maghreb
khodni men maison lel sousse mardi après-midi,sousse,maison,mardi,après-midi
nemchi tunis next tuesday leyl,tunis,aéroport,next tuesday,leyl
aller à kairouan jeudi leyl,kairouan,hotel,jeudi,leyl
nemchi bizerte jeudi soir,bizerte,maison,jeudi,soir
nemchi bizerte  asr,bizerte,aéroport,,asr
khodni men maison lel tunis el-lahad,tunis,maison,el-lahad,
aller à kairouan ghodwa asr,kairouan,maison,ghodwa,asr
take me from gare to kairouan vendredi,kairouan,gare,vendredi,
أريد الذهاب إلى kairouan mardi leyl,kairouan,,mardi,leyl
aller à monastir el-jemaa asr,monastir,gare,el-jemaa,asr
khodni men  lel sousse mardi soir,sousse,,mardi,soir
take me from  to hammamet lundi asr,hammamet,,lundi,asr
khodni men hotel lel hammamet next tuesday maghreb,hammamet,hotel,next tuesday,maghreb
take me from maison to kairouan next tuesday après-midi,kairouan,maison,next tuesday,après-midi
أريد الذهاب إلى hammamet ghodwa now,hammamet,aéroport,ghodwa,now
khodni men gare lel bizerte el-talata sbeh,bizerte,gare,el-talata,sbeh
أريد الذهاب إلى nabeul mercredi dhuhr,nabeul,bureau,mercredi,dhuhr
أريد الذهاب إلى kairouan el-lahad soir,kairouan,,el-lahad,soir
I need a taxi to hammamet samedi sbeh,hammamet,gare,samedi,sbeh
I need a taxi to tunis lundi dhuhr,tunis,gare,lundi,dhuhr
I need a taxi to sousse dimanche soir,sousse,hotel,dimanche,soir
I need a taxi to sfax mercredi sbeh,sfax,aéroport,mercredi,sbeh
nemchi monastir mardi soir,monastir,aéroport,mardi,soir
I need a taxi to hammamet el-jemaa maghreb,hammamet,aéroport,el-jemaa,maghreb
take me from maison to kairouan ghodwa maghreb,kairouan,maison,ghodwa,maghreb
take me from aéroport to nabeul ghodwa sbeh,nabeul,aéroport,ghodwa,sbeh
aller à bizerte dimanche leyl,bizerte,gare,dimanche,leyl
I need a taxi to sousse next tuesday matin,sousse,aéroport,next tuesday,matin
nemchi sousse mardi sbeh,sousse,,mardi,sbeh
take me from gare to tunis mercredi asr,tunis,gare,mercredi,asr
أريد الذهاب إلى tunis el-jemaa sbeh,tunis,gare,el-jemaa,sbeh
aller à nabeul jeudi maghreb,nabeul,,jeudi,maghreb
aller à nabeul lyoum,nabeul,,lyoum,
aller à tunis lundi now,tunis,aéroport,lundi,now
aller à monastir el-lahad soir,monastir,maison,el-lahad,soir
أريد الذهاب إلى sfax jeudi maghreb,sfax,gare,jeudi,maghreb
aller à sfax el-lahad matin,sfax,,el-lahad,matin
أريد الذهاب إلى sfax dimanche leyl,sfax,hotel,dimanche,leyl
take me from aéroport to sfax mercredi asr,sfax,aéroport,mercredi,asr
khodni men hotel lel kairouan jeudi après-midi,kairouan,hotel,jeudi,après-midi
nemchi sfax ghodwa soir,sfax,,ghodwa,soir
nemchi hammamet dimanche now,hammamet,,dimanche,now
I need a taxi to sfax apres-demain leyl,sfax,hotel,apres-demain,leyl
I need a taxi to kairouan jeudi asr,kairouan,,jeudi,asr
أريد الذهاب إلى tunis next tuesday soir,tunis,,next tuesday,soir
I need a taxi to hammamet el-lahad asr,hammamet,maison,el-lahad,asr
I need a taxi to sousse el-talata,sousse,maison,el-talata,
أريد الذهاب إلى sousse  après-midi,sousse,gare,,après-midi
I need a taxi to nabeul vendredi matin,nabeul,maison,vendredi,matin
take me from aéroport to kairouan el-jemaa,kairouan,aéroport,el-jemaa,
أريد الذهاب إلى hammamet lyoum soir,hammamet,bureau,lyoum,soir
aller à kairouan next tuesday now,kairouan,maison,next tuesday,now
aller à hammamet dimanche leyl,hammamet,,dimanche,leyl
take me from gare to kairouan samedi sbeh,kairouan,gare,samedi,sbeh
take me from  to monastir mardi soir,monastir,,mardi,soir
أريد الذهاب إلى bizerte ghodwa asr,bizerte,hotel,ghodwa,asr
أريد الذهاب إلى sousse  maghreb,sousse,maison,,maghreb
nemchi monastir next tuesday asr,monastir,aéroport,next tuesday,asr
take me from maison to kairouan ghodwa dhuhr,kairouan,maison,ghodwa,dhuhr
I need a taxi to monastir vendredi dhuhr,monastir,aéroport,vendredi,dhuhr
take me from maison to nabeul mercredi maghreb,nabeul,maison,mercredi,maghreb
take me from aéroport to kairouan lyoum sbeh,kairouan,aéroport,lyoum,sbeh
aller à sousse lyoum now,sousse,,lyoum,now
I need a taxi to sfax lyoum sbeh,sfax,,lyoum,sbeh
I need a taxi to nabeul  now,nabeul,gare,,now
أريد الذهاب إلى sfax mercredi sbeh,sfax,,mercredi,sbeh
أريد الذهاب إلى nabeul el-jemaa,nabeul,,el-jemaa,
أريد الذهاب إلى monastir lundi sbeh,monastir,gare,lundi,sbeh
I need a taxi to hammamet next tuesday soir,hammamet,aéroport,next tuesday,soir
I need a taxi to monastir el-jemaa après-midi,monastir,,el-jemaa,après-midi
khodni men aéroport lel nabeul ghodwa,nabeul,aéroport,ghodwa,
khodni men maison lel monastir lyoum sbeh,monastir,maison,lyoum,sbeh
I need a taxi to monastir lundi matin,monastir,gare,lundi,matin
nemchi bizerte el-talata maghreb,bizerte,maison,el-talata,maghreb
khodni men aéroport lel tunis el-jemaa soir,tunis,aéroport,el-jemaa,soir
أريد الذهاب إلى sfax dimanche dhuhr,sfax,aéroport,dimanche,dhuhr
I need a taxi to sousse lundi leyl,sousse,gare,lundi,leyl
أريد الذهاب إلى tunis dimanche now,tunis,hotel,dimanche,now
khodni men  lel sfax el-lahad now,sfax,,el-lahad,now
khodni men gare lel nabeul lundi soir,nabeul,gare,lundi,soir
khodni men gare lel sousse el-lahad leyl,sousse,gare,el-lahad,leyl
أريد الذهاب إلى hammamet apres-demain après-midi,hammamet,bureau,apres-demain,après-midi
take me from gare to nabeul el-jemaa,nabeul,gare,el-jemaa,
khodni men bureau lel nabeul dimanche sbeh,nabeul,bureau,dimanche,sbeh
khodni men gare lel nabeul lyoum asr,nabeul,gare,lyoum,asr
nemchi monastir el-lahad sbeh,monastir,,el-lahad,sbeh
aller à sfax dimanche dhuhr,sfax,hotel,dimanche,dhuhr
nemchi monastir ghodwa now,monastir,aéroport,ghodwa,now
nemchi kairouan el-lahad sbeh,kairouan,gare,el-lahad,sbeh
أريد الذهاب إلى kairouan vendredi soir,kairouan,bureau,vendredi,soir
nemchi sfax el-lahad now,sfax,hotel,el-lahad,now
khodni men aéroport lel hammamet mercredi soir,hammamet,aéroport,mercredi,soir
take me from aéroport to nabeul apres-demain dhuhr,nabeul,aéroport,apres-demain,dhuhr
I need a taxi to kairouan el-lahad now,kairouan,hotel,el-lahad,now
